age_years,min,availability_ratio,offensive_efficiency,progressive_actions,position,compition,value_tier
30,1473.0,0.6666666666666666,5.5,49.3,MF,Serie A,Mid
37,2014.0,1.0,12.01,0.0,DF,La Liga,Mid
31,1154.0,1.0,34.0,0.15,MF,Premier League,Mid
20,327.0,0.5,1.2999999999999998,23.0,MF,Premier League,Low
31,1259.0,0.7,2.7,18.0,MF,La Liga,Low
26,1080.0,0.9230769230769231,17.0,6.02,DF,La Liga,Mid
28,828.0,0.4,31.2,7.08,"MF,FW",La Liga,Mid
25,1583.0,0.8333333333333334,3.4,21.5,MF,La Liga,Mid
24,1933.0,0.8846153846153846,7.9,189.0,DF,Premier League,High
23,1005.0,0.5789473684210527,18.0,0.05,MF,La Liga,Mid
19,360.0,0.2727272727272727,23.5,,FW,La Liga,Mid
30,2340.0,1.0,0.04,0.04,GK,Premier League,Mid
28,1658.0,0.6923076923076923,5.5,178.0,"DF,FW",Ligue 1,High
22,1594.0,0.782608695652174,2.9000000000000004,163.0,MF,La Liga,High
29,1978.0,0.96,7.699999999999999,168.0,FW,Premier League,High
32,682.0,0.4,1.9000000000000001,21.0,DF,La Liga,Low
33,1115.0,0.5238095238095238,57.0,0.12,DF,Ligue 1,Mid
23,902.0,0.6428571428571429,0.6000000000000001,32.0,DF,La Liga,Low
23,749.0,0.3,25.6,,"FW,MF",Premier League,Mid
21,312.0,0.05555555555555555,1.6,8.0,"FW,MF",Serie A,Low
28,1805.0,1.0,0.8,26.3,DF,La Liga,Mid
29,424.0,0.5714285714285714,,,"DF,MF",Ligue 1,Low
28,1520.0,0.8947368421052632,26.0,0.15,DF,Premier League,Mid
26,589.0,0.16666666666666666,3.4000000000000004,46.0,"MF,FW",La Liga,Low
25,1499.0,0.8,26.5,48.07,DF,Serie A,High
21,1330.0,1.0,8.1,8.03,DF,Serie A,Mid
26,721.0,0.3157894736842105,1.6,61.0,"MF,FW",Bundesliga,Low
22,1810.0,1.0,19.9,9.05,"DF,MF",Serie A,High
26,1657.0,0.8333333333333334,54.0,0.07,MF,Serie A,High
26,1927.0,1.0,3.6,11.0,DF,Premier League,Mid
29,2105.0,0.9259259259259259,8.8,143.0,FW,Serie A,High
32,2206.0,1.0,2.9,264.0,MF,Ligue 1,High
27,1378.0,0.5714285714285714,8.4,8.9,FW,Ligue 1,Mid
28,1866.0,0.9565217391304348,2.4000000000000004,95.0,MF,Bundesliga,High
26,1891.0,0.875,23.8,100.04,DF,Bundesliga,High
29,543.0,0.7,15.0,,DF,La Liga,Low
23,1004.0,0.4090909090909091,4.7,83.0,"MF,FW",Premier League,Mid
26,2171.0,1.0,3.6,90.0,DF,Bundesliga,High
22,311.0,0.2727272727272727,0.0,,MF,Serie A,Low
33,1129.0,0.5217391304347826,4.5,44.0,FW,Premier League,Low
23,1071.0,0.9285714285714286,6.3,146.0,"FW,MF",Premier League,High
29,1216.0,0.65,7.2,189.0,"FW,MF",Bundesliga,High
24,445.0,0.5454545454545454,1.3,44.0,MF,Ligue 1,Low
30,795.0,0.6,66.0,,"DF,MF",Ligue 1,High
27,826.0,1.0,9.5,30.02,MF,La Liga,Low
33,493.0,0.4,0.8,10.0,MF,Bundesliga,Low
24,1121.0,0.9285714285714286,21.4,45.11,DF,La Liga,Mid
30,309.0,0.4,0.0,,GK,Premier League,Low
26,1094.0,0.5789473684210527,3.6,75.0,"MF,FW",Premier League,Mid
26,1111.0,0.5,2.3,52.0,FW,Premier League,Mid
30,1003.0,0.43478260869565216,4.9,100.0,"MF,FW",Premier League,Mid
33,1231.0,0.875,9.0,16.0,FW,Serie A,Low
28,2088.0,1.0,9.0,17.3,MF,Bundesliga,High
28,1665.0,1.0,0.0,0.0,GK,Premier League,Mid
32,928.0,0.4230769230769231,4.300000000000001,67.0,MF,Serie A,Low
24,928.0,0.4090909090909091,7.4,8.7,FW,Serie A,Low
24,389.0,0.4444444444444444,,,"DF,MF",La Liga,Low
28,1005.0,0.8125,3.6,36.0,"FW,MF",Bundesliga,Low
26,727.0,0.5384615384615384,7.0,,MF,Serie A,Low
33,810.0,1.0,0.0,0.0,GK,La Liga,Low
27,701.0,0.35,7.6,27.6,"FW,MF",La Liga,Low
22,622.0,0.3333333333333333,25.0,,MF,Serie A,Mid
35,2194.0,0.9230769230769231,13.3,68.5,FW,La Liga,High
26,637.0,0.5384615384615384,2.9,75.0,"DF,MF",Ligue 1,Low
33,441.0,0.3333333333333333,1.7,29.0,FW,Premier League,Low
26,2250.0,1.0,0.0,0.0,GK,Serie A,Mid
28,2074.0,0.9230769230769231,2.3,141.0,DF,Serie A,High
30,1430.0,0.8888888888888888,2.4,75.0,DF,Premier League,Mid
32,1259.0,0.8,3.8,22.5,"MF,FW",Ligue 1,Low
29,1465.0,0.8695652173913043,13.0,22.7,"FW,MF",La Liga,Mid
36,1462.0,0.8888888888888888,2.0,3.06,DF,Ligue 1,Low
25,730.0,0.5625,11.5,,FW,Premier League,Low
21,482.0,0.21428571428571427,,,"DF,FW",Bundesliga,Mid
31,1877.0,0.7857142857142857,3.0999999999999996,95.0,"FW,MF",Premier League,High
28,545.0,0.5,0.0,,DF,Serie A,Low
31,1244.0,0.65,3.4,65.0,DF,Premier League,Low
28,557.0,0.35714285714285715,4.5,30.0,"FW,MF",Bundesliga,Low
33,1106.0,0.5789473684210527,77.0,0.14,DF,Premier League,Mid
27,1141.0,0.7368421052631579,9.0,0.08,MF,La Liga,Low
26,2025.0,0.9565217391304348,2.0,21.0,DF,La Liga,Mid
22,628.0,0.875,7.0,,DF,La Liga,Mid
31,2340.0,1.0,0.0,0.0,GK,La Liga,Mid
22,635.0,0.875,10.0,,DF,Premier League,Mid
22,839.0,0.8181818181818182,1.6,3.21,DF,Ligue 1,Low
21,1294.0,0.5217391304347826,4.2,41.0,"MF,FW",La Liga,Mid
25,1609.0,0.8076923076923077,8.1,95.0,"FW,MF",Premier League,High
28,433.0,0.36363636363636365,,,DF,Ligue 1,Low
18,526.0,0.5454545454545454,2.0,11.0,MF,Premier League,Low
24,940.0,0.42105263157894735,2.4,51.0,"MF,FW",Serie A,Mid
24,317.0,0.2857142857142857,17.3,,FW,Serie A,Low
22,1155.0,0.65,2.8,23.1,"DF,MF",Bundesliga,Mid
24,2016.0,0.88,5.4,146.0,"DF,FW",Bundesliga,High
20,1158.0,0.8888888888888888,3.6999999999999997,98.0,MF,Serie A,High
19,1660.0,0.8695652173913043,64.0,144.02,DF,La Liga,High
20,1627.0,0.8260869565217391,131.0,0.08,DF,Ligue 1,High
24,2063.0,0.8888888888888888,11.1,71.02,DF,Ligue 1,High
31,2181.0,1.0,154.0,0.12,DF,La Liga,High
21,2119.0,0.8888888888888888,21.5,43.3,FW,Ligue 1,High
32,648.0,0.45454545454545453,,,DF,Ligue 1,Low
27,1976.0,0.9166666666666666,10.6,197.0,FW,Ligue 1,High
29,956.0,0.5789473684210527,10.399999999999999,15.7,FW,Premier League,Low
22,1180.0,0.5,2.8,73.0,"FW,MF",Serie A,High
27,1739.0,0.8076923076923077,5.1,105.0,MF,Serie A,High
30,1244.0,0.8095238095238095,4.4,65.0,"FW,MF",La Liga,Mid
24,454.0,0.2857142857142857,41.0,,MF,Premier League,Mid
28,1318.0,0.6818181818181818,5.199999999999999,108.0,MF,Serie A,Mid
29,316.0,0.42857142857142855,16.0,,MF,Serie A,Low
20,777.0,0.4444444444444444,4.1,53.0,"FW,MF",Ligue 1,Mid
22,1723.0,0.8260869565217391,114.0,0.07,DF,Ligue 1,High
25,330.0,0.2727272727272727,,,MF,La Liga,Low
26,2010.0,0.9230769230769231,7.5,217.0,MF,Serie A,High
25,639.0,0.4375,1.9000000000000001,60.0,"FW,MF",La Liga,Low
29,701.0,0.3684210526315789,4.6,46.0,"MF,FW",Ligue 1,Low
24,399.0,0.125,11.8,,MF,Bundesliga,Low
25,2036.0,0.96,9.5,128.0,"MF,FW",Premier League,High
23,1499.0,0.7391304347826086,3.9,52.0,MF,Bundesliga,Mid
21,411.0,0.45454545454545453,13.2,,"DF,FW",La Liga,Low
32,715.0,0.5833333333333334,15.8,,MF,Ligue 1,Low
19,439.0,0.5,11.9,,MF,La Liga,Mid
24,1198.0,0.7142857142857143,4.8,60.0,"FW,MF",Serie A,Mid
26,2340.0,1.0,3.3,17.0,DF,Serie A,High
26,422.0,0.2222222222222222,31.0,,MF,Serie A,Mid
26,398.0,0.8571428571428571,14.5,,FW,Bundesliga,Low
23,1627.0,0.9047619047619048,38.7,36.06,DF,Serie A,High
26,946.0,0.9230769230769231,2.0,36.0,"MF,DF",Serie A,Low
31,686.0,0.5333333333333333,,,MF,La Liga,Low
23,1233.0,0.7368421052631579,10.0,0.26,DF,Bundesliga,Mid
32,2250.0,1.0,0.0,0.0,GK,Bundesliga,Mid
27,517.0,0.8571428571428571,5.0,,DF,Bundesliga,Low
35,463.0,0.25,,,MF,Bundesliga,Low
23,1910.0,1.0,9.4,139.0,"MF,FW",Bundesliga,High
26,1642.0,0.7777777777777778,3.8,43.8,MF,Ligue 1,High
21,2520.0,1.0,0.0,0.0,GK,Premier League,High
28,636.0,0.8,10.1,,FW,Bundesliga,Low
27,1862.0,1.0,1.7999999999999998,80.0,DF,Serie A,High
28,1797.0,0.96,6.2,88.0,FW,Bundesliga,High
26,822.0,1.0,3.0,0.09,DF,Premier League,Low
32,949.0,0.36,2.7,46.0,FW,Bundesliga,Low
21,384.0,0.5,,,"MF,DF",Ligue 1,Mid
29,693.0,0.4375,1.3,69.0,"DF,MF",Ligue 1,Low
31,1089.0,0.875,8.1,34.5,"MF,FW",Ligue 1,Low
31,356.0,0.6666666666666666,17.4,,"FW,MF",Ligue 1,Low
29,1813.0,0.7142857142857143,1.4,41.0,MF,Ligue 1,Mid
31,1590.0,0.8095238095238095,10.1,7.04,DF,Bundesliga,Low
21,1482.0,1.0,7.3,2.05,DF,Premier League,Mid
24,1622.0,0.95,5.2,179.0,MF,Ligue 1,High
19,2075.0,0.9583333333333334,8.2,269.0,MF,Bundesliga,High
29,614.0,0.18181818181818182,63.0,,FW,Serie A,Mid
24,2099.0,0.9230769230769231,22.9,20.03,MF,La Liga,High
18,681.0,0.9,2.5,61.0,"FW,MF",Ligue 1,Mid
32,1468.0,0.8333333333333334,15.5,41.7,FW,Ligue 1,Mid
28,664.0,0.7777777777777778,33.0,,MF,Serie A,Mid
25,1625.0,0.8636363636363636,3.5,139.0,MF,Serie A,High
27,1429.0,0.625,7.8999999999999995,76.8,"FW,MF",Premier League,High
27,1874.0,1.0,4.9,33.5,DF,Bundesliga,High
28,1905.0,0.9565217391304348,5.8,29.0,MF,Ligue 1,Mid
25,1500.0,0.9444444444444444,3.0,102.0,MF,Premier League,High
35,1393.0,1.0,14.5,49.8,FW,La Liga,Mid
28,1174.0,0.8235294117647058,12.2,31.2,FW,Serie A,Mid
33,1326.0,0.8823529411764706,1.6,33.6,DF,La Liga,Low
27,1633.0,0.76,9.8,215.0,FW,La Liga,High
30,1198.0,1.0,60.0,0.03,DF,Serie A,Mid
23,761.0,0.21739130434782608,46.2,,"FW,DF",Ligue 1,High
24,1508.0,0.9473684210526315,16.7,22.5,FW,Bundesliga,High
33,630.0,1.0,14.0,,DF,Ligue 1,Low
25,1800.0,1.0,0.0,0.0,GK,Ligue 1,Mid
30,1139.0,0.5714285714285714,3.1999999999999997,40.0,DF,Ligue 1,Low
20,350.0,1.0,,,DF,Premier League,Mid
25,1709.0,0.7037037037037037,10.3,30.0,FW,Serie A,High
30,1693.0,0.9,1.7,9.0,DF,Serie A,Low
32,1443.0,0.85,14.05,0.1,DF,La Liga,Low
24,1833.0,1.0,2.7,45.0,DF,Serie A,High
21,1169.0,0.7368421052631579,13.5,67.0,FW,La Liga,High
26,1951.0,0.9230769230769231,4.9,81.0,"MF,FW",Premier League,High
30,1982.0,0.92,5.9,173.0,DF,Serie A,High
23,1087.0,0.5909090909090909,47.9,96.09,DF,Serie A,High
25,325.0,0.05263157894736842,,,"FW,MF",Ligue 1,Low
26,814.0,0.4,17.0,0.1,MF,Premier League,Low
24,461.0,0.45454545454545453,,,MF,Serie A,Low
29,1017.0,0.875,1.9,61.0,"MF,DF",Bundesliga,Mid
32,2430.0,1.0,0.0,0.0,GK,Ligue 1,Mid
27,360.0,1.0,0.0,,GK,Ligue 1,Low
25,2050.0,0.8148148148148148,9.3,86.6,"FW,MF",Ligue 1,High
31,1620.0,1.0,0.0,0.0,GK,Bundesliga,Low
29,1772.0,0.9523809523809523,3.0,0.2,DF,Ligue 1,Mid
26,1608.0,0.68,2.6,34.0,"MF,DF",Serie A,Mid
34,315.0,0.6666666666666666,,,DF,Ligue 1,Low
29,851.0,0.4444444444444444,26.0,0.19,MF,Bundesliga,Low
26,585.0,0.29411764705882354,4.0,107.0,"MF,FW",Serie A,Mid
24,492.0,0.46153846153846156,,,MF,Serie A,Low
32,592.0,1.0,10.0,,DF,Premier League,Low
33,1556.0,0.782608695652174,8.6,123.0,MF,Serie A,High
25,1075.0,0.5454545454545454,3.4,53.0,"FW,MF",Serie A,Mid
27,1159.0,0.7894736842105263,6.199999999999999,98.0,"MF,FW",La Liga,Mid
26,416.0,0.5714285714285714,,,DF,Serie A,Low
35,692.0,0.5384615384615384,1.1,26.0,DF,Serie A,Low
26,2161.0,1.0,4.9,117.0,DF,Ligue 1,High
24,1343.0,0.8421052631578947,8.0,0.04,DF,Bundesliga,Mid
27,696.0,0.25,4.4,16.4,"FW,MF",Bundesliga,Low
23,355.0,0.16666666666666666,1.7000000000000002,18.0,FW,Serie A,Low
23,2047.0,0.9583333333333334,9.0,0.14,DF,Premier League,High
18,331.0,0.3333333333333333,22.0,,"FW,MF",Ligue 1,Mid
23,1192.0,0.7777777777777778,25.6,36.04,MF,Ligue 1,High
29,834.0,0.6923076923076923,6.6,49.1,"FW,MF",Ligue 1,Low
31,2061.0,1.0,0.0,0.0,GK,La Liga,Mid
31,2088.0,0.9629629629629629,30.2,24.05,MF,Serie A,High
29,2198.0,1.0,8.2,31.4,"MF,FW",Ligue 1,High
20,332.0,0.23076923076923078,7.0,,MF,Serie A,Low
26,2330.0,1.0,8.9,77.7,"FW,MF",Premier League,High
27,1692.0,0.8333333333333334,6.0,46.8,FW,La Liga,High
23,1535.0,0.7272727272727273,49.3,88.01,DF,Serie A,High
23,548.0,0.15789473684210525,3.0999999999999996,96.0,"FW,MF",Ligue 1,Mid
31,1724.0,1.0,12.6,27.4,"FW,MF",La Liga,Mid
24,1017.0,0.6666666666666666,24.4,11.09,DF,La Liga,Mid
26,1757.0,0.8695652173913043,10.0,126.0,"MF,FW",Bundesliga,High
31,1004.0,0.3333333333333333,1.8,65.0,MF,La Liga,Low
23,2193.0,0.9615384615384616,48.0,0.08,DF,Ligue 1,High
39,540.0,1.0,0.0,,GK,La Liga,Low
28,540.0,1.0,0.0,,GK,Bundesliga,Low
26,2016.0,1.0,3.9,39.0,DF,Serie A,High
27,1425.0,0.8,74.0,0.06,DF,Serie A,High
30,540.0,1.0,,,DF,Bundesliga,Low
30,1013.0,0.6470588235294118,4.199999999999999,36.0,MF,Serie A,Low
29,1762.0,1.0,41.0,0.08,DF,Bundesliga,High
24,1273.0,0.7368421052631579,39.9,93.03,"DF,FW",Ligue 1,High
22,325.0,0.42857142857142855,1.8,20.0,"DF,MF",La Liga,Low
22,328.0,0.0625,1.0,26.0,"DF,FW",Bundesliga,Low
31,1130.0,0.6666666666666666,8.0,82.0,FW,La Liga,Mid
26,1633.0,0.6666666666666666,106.7,40.28,"MF,FW",Premier League,High
20,1040.0,0.8666666666666667,43.8,52.02,DF,Premier League,High
24,2237.0,1.0,15.1,107.05,DF,La Liga,High
29,1921.0,0.88,9.9,58.3,"FW,MF",Bundesliga,High
30,591.0,0.15789473684210525,69.0,,"MF,FW",Serie A,Mid
23,1743.0,0.8260869565217391,10.5,15.08,DF,Serie A,Mid
22,533.0,0.6363636363636364,5.2,12.3,"MF,FW",Bundesliga,Low
30,2210.0,0.9615384615384616,49.0,0.13,DF,Premier League,High
23,641.0,0.5833333333333334,15.5,,DF,Ligue 1,Mid
34,1647.0,0.9090909090909091,13.0,155.01,MF,La Liga,High
26,587.0,0.6666666666666666,1.3,46.0,DF,Bundesliga,Low
18,489.0,0.3076923076923077,4.9,57.0,"FW,MF",Bundesliga,Mid
33,1722.0,0.8636363636363636,11.399999999999999,248.0,"MF,FW",Ligue 1,High
28,511.0,0.45454545454545453,28.4,,"DF,MF",Ligue 1,Mid
31,1872.0,0.9565217391304348,69.0,0.13,DF,La Liga,High
22,387.0,0.375,44.0,,DF,Serie A,Mid
25,1441.0,0.7272727272727273,2.3,77.0,DF,Bundesliga,Mid
21,2089.0,0.9583333333333334,2.6,169.0,MF,Premier League,High
32,471.0,0.045454545454545456,47.0,,MF,Premier League,Low
23,1002.0,0.36363636363636365,2.4,30.1,MF,Ligue 1,Mid
26,1015.0,0.8666666666666667,1.6,71.0,DF,Serie A,Mid
28,1162.0,0.6666666666666666,5.05,0.1,DF,Serie A,Low
32,1657.0,0.8636363636363636,22.0,0.11000000000000001,DF,Serie A,Mid
27,1223.0,0.8333333333333334,6.0,0.09,"DF,MF",La Liga,Low
26,716.0,0.7,,,DF,Premier League,Low
29,1924.0,0.8846153846153846,4.7,40.7,MF,Serie A,High
26,731.0,0.8181818181818182,6.199999999999999,41.0,FW,Premier League,Low
24,1440.0,0.8095238095238095,79.0,0.1,MF,Ligue 1,High
26,412.0,0.5,19.0,,MF,Serie A,Low
23,1563.0,0.9,23.9,95.04,MF,Ligue 1,High
20,418.0,0.7142857142857143,,,DF,Ligue 1,Mid
20,1349.0,0.5384615384615384,46.9,66.05,"MF,DF",La Liga,High
22,578.0,0.23529411764705882,2.5,56.0,"FW,MF",Serie A,Low
23,1620.0,0.76,54.2,70.03,DF,Serie A,High
22,1829.0,0.8461538461538461,7.699999999999999,59.0,FW,La Liga,High
29,1090.0,0.6111111111111112,0.9,64.0,MF,Bundesliga,Low
32,1639.0,0.9047619047619048,7.8,58.0,"FW,MF",La Liga,Mid
28,1274.0,0.9411764705882353,1.6,73.7,DF,Premier League,Mid
28,359.0,0.6666666666666666,1.1,26.0,"DF,FW",Bundesliga,Low
36,2075.0,0.9230769230769231,5.0,59.4,"DF,MF",Serie A,Mid
35,1138.0,0.5714285714285714,16.2,28.1,"MF,DF",Ligue 1,Low
34,1464.0,0.8947368421052632,80.0,0.26,MF,La Liga,High
29,1807.0,0.8888888888888888,8.5,75.7,"MF,FW",Serie A,High
35,1094.0,0.8666666666666667,12.9,6.08,FW,Serie A,Low
35,963.0,0.9166666666666666,4.2,21.0,FW,Serie A,Low
23,1970.0,0.8846153846153846,5.5,162.0,MF,Ligue 1,High
29,1416.0,0.8888888888888888,17.6,50.01,DF,La Liga,Mid
26,301.0,0.6,,,DF,Ligue 1,Low
24,2093.0,1.0,5.0,127.0,DF,Serie A,High
35,900.0,1.0,0.0,0.0,GK,La Liga,Low
21,536.0,0.875,0.5,18.0,"MF,DF",La Liga,Low
21,527.0,0.5,1.6,10.2,DF,La Liga,Low
22,1620.0,1.0,0.06,0.06,GK,Serie A,Mid
29,1404.0,0.625,10.1,224.0,"DF,MF",La Liga,High
31,1452.0,0.7619047619047619,16.1,98.01,DF,La Liga,Mid
20,340.0,0.3333333333333333,12.1,,"MF,FW",Premier League,Low
30,1627.0,0.9090909090909091,4.2,35.0,MF,La Liga,Mid
25,1675.0,1.0,0.8999999999999999,63.0,DF,Serie A,Mid
31,1338.0,0.7894736842105263,4.2,12.1,MF,Premier League,Low
25,1639.0,0.782608695652174,41.9,56.01,DF,Premier League,High
27,2265.0,0.9615384615384616,3.5999999999999996,111.0,DF,Premier League,High
33,757.0,0.4375,10.8,,MF,Serie A,Low
30,2250.0,1.0,0.04,0.0,GK,Bundesliga,Mid
24,1911.0,0.96,12.8,30.9,FW,La Liga,High
28,1758.0,0.9130434782608695,15.03,0.06,DF,Ligue 1,Mid
28,1122.0,0.75,6.199999999999999,125.0,FW,La Liga,High
29,1261.0,0.7777777777777778,1.3,94.0,DF,Premier League,Mid
28,1635.0,0.9166666666666666,9.2,13.01,MF,Serie A,Mid
28,2159.0,1.0,2.0,10.3,DF,La Liga,Mid
20,747.0,0.4666666666666667,3.4,118.0,"FW,MF",Ligue 1,High
26,1385.0,1.0,23.0,0.04,DF,Ligue 1,Mid
36,965.0,0.9333333333333333,9.3,9.3,FW,La Liga,Low
26,819.0,0.5263157894736842,39.3,26.05,MF,La Liga,Mid
30,1033.0,0.9333333333333333,0.7999999999999999,63.0,DF,Serie A,Low
29,1178.0,0.6086956521739131,6.1,79.0,FW,Serie A,Mid
21,332.0,0.21428571428571427,,,FW,Serie A,Mid
26,1013.0,0.625,80.0,0.18,DF,Serie A,High
27,1132.0,0.8666666666666667,110.0,0.12,DF,Ligue 1,High
28,1421.0,0.64,35.0,68.13,MF,La Liga,High
28,540.0,1.0,,,GK,Ligue 1,Low
25,993.0,1.0,3.7,1.1,DF,Bundesliga,Low
24,321.0,0.5,,,MF,Ligue 1,Low
17,317.0,0.42857142857142855,0.0,,DF,Ligue 1,Low
20,1720.0,0.6923076923076923,7.1,119.0,"FW,MF",Ligue 1,High
23,1007.0,0.6875,18.0,0.08,DF,Premier League,Mid
28,1591.0,0.85,4.0,0.08,DF,Ligue 1,Low
32,1831.0,0.7307692307692307,3.0,91.0,MF,Ligue 1,Mid
19,1124.0,0.48,8.100000000000001,170.0,"MF,FW",Ligue 1,High
21,1980.0,1.0,0.01,0.0,GK,Ligue 1,Mid
25,394.0,0.18181818181818182,22.4,,"DF,MF",Serie A,Low
26,874.0,0.5625,2.2,57.0,"DF,MF",Premier League,Mid
33,726.0,0.9090909090909091,0.0,,DF,Serie A,Low
25,1846.0,0.9565217391304348,17.4,22.04,MF,Ligue 1,High
21,1713.0,0.72,8.2,22.02,MF,Ligue 1,High
26,1263.0,0.9375,16.9,2.03,DF,La Liga,Mid
24,2250.0,1.0,0.0,0.0,GK,Bundesliga,High
28,1066.0,0.5714285714285714,4.2,60.0,"MF,FW",Premier League,Mid
23,1476.0,0.64,6.5,127.0,"FW,MF",La Liga,High
23,863.0,0.75,21.8,3.1,DF,La Liga,Low
31,475.0,0.8571428571428571,2.4,,MF,Bundesliga,Low
37,631.0,0.20833333333333334,4.8,10.0,FW,Serie A,Low
29,1047.0,0.4166666666666667,4.2,11.0,"MF,DF",La Liga,Low
28,1785.0,0.8,8.4,96.0,"DF,MF",Serie A,High
24,485.0,0.26666666666666666,3.0,50.0,"MF,FW",Ligue 1,Low
30,1773.0,0.9166666666666666,8.7,140.0,DF,Ligue 1,High
31,1653.0,0.9523809523809523,41.9,79.03,"DF,MF",La Liga,High
31,1636.0,0.9047619047619048,0.04,0.04,DF,Premier League,Low
30,1970.0,1.0,1.1,44.0,DF,Premier League,Mid
26,322.0,0.17647058823529413,2.3,40.0,"DF,FW",Ligue 1,Low
31,586.0,0.8571428571428571,29.0,,DF,Ligue 1,Low
33,497.0,0.36363636363636365,,,MF,Premier League,Low
34,1450.0,0.85,0.8999999999999999,40.0,DF,Premier League,Low
23,536.0,0.8888888888888888,1.4,26.0,MF,La Liga,Low
30,1384.0,0.9375,34.2,3.07,DF,Serie A,Mid
21,1578.0,0.85,71.0,0.02,DF,Premier League,High
21,1188.0,0.5416666666666666,8.2,16.1,FW,Serie A,Mid
23,537.0,0.21052631578947367,4.0,55.0,MF,Serie A,Low
20,553.0,0.75,,,DF,Premier League,Mid
26,920.0,0.5294117647058824,5.2,71.3,"FW,MF",Bundesliga,Mid
25,1526.0,0.85,0.6,55.0,DF,La Liga,Mid
26,1548.0,0.75,4.2,55.0,MF,La Liga,Mid
36,2250.0,1.0,0.0,0.0,GK,Serie A,Low
25,1177.0,0.8125,3.0,117.0,DF,Ligue 1,High
26,1516.0,0.8095238095238095,11.4,8.01,MF,Premier League,Mid
31,957.0,0.9166666666666666,1.05,0.02,DF,Premier League,Low
31,1106.0,0.9230769230769231,2.5,2.0,DF,Premier League,Low
23,1452.0,0.9473684210526315,9.0,0.09,DF,La Liga,Mid
19,1024.0,0.8461538461538461,9.03,0.06,DF,Serie A,Mid
31,748.0,0.5625,3.0,38.0,MF,La Liga,Low
32,622.0,0.2,19.5,,"DF,MF",Ligue 1,Low
28,972.0,0.375,7.6000000000000005,70.0,"FW,MF",La Liga,Mid
28,448.0,0.2222222222222222,3.0,13.0,FW,Serie A,Low
24,1542.0,0.9,147.0,0.07,"DF,FW",La Liga,High
29,967.0,0.6875,78.0,0.21,DF,Bundesliga,High
22,1346.0,0.6153846153846154,6.6,171.0,"MF,FW",Ligue 1,High
34,711.0,0.6428571428571429,14.0,,FW,Premier League,Low
35,1840.0,1.0,47.8,101.05,DF,La Liga,High
32,1324.0,0.6086956521739131,6.0,21.1,"FW,MF",Ligue 1,Low
